node_id,node
426,2000100060019_10345214	
427,2000100060019_130956	
428,2000100060019_13388558	
429,2000100060019_2088	
430,2000100060019_25022354	
431,2000100060019_44137686	
432,2000100060019_5280933	
433,2000100060019_5282367	
434,2000100060019_60852	
435,2000100060019_6918182	
436,2000100060019_6918446	
437,2000100060019_9290	
438,2000100060021_10152654	
439,2000100060021_10201696	
440,2000100060021_10313457	
441,2000100060021_10345214	
442,2000100060021_130956	
443,2000100060021_13109	
444,2000100060021_13388558	
445,2000100060021_154257	
446,2000100060021_16750192	
447,2000100060021_176405	
448,2000100060021_179337	
449,2000100060021_2088	
450,2000100060021_216416	
451,2000100060021_223368	
452,2000100060021_25022354	
453,2000100060021_3001028	
454,2000100060021_44137686	
455,2000100060021_444008	
456,2000100060021_5035	
457,2000100060021_5280795	
458,2000100060021_5280933	
459,2000100060021_5282367	
460,2000100060021_5283731	
461,2000100060021_57398987	
462,2000100060021_5757	
463,2000100060021_5870	
464,2000100060021_5878	
465,2000100060021_5881	
466,2000100060021_5991	
467,2000100060021_60852	
468,2000100060021_6230	
469,2000100060021_6279	
470,2000100060021_68873	
471,2000100060021_6918141	
472,2000100060021_6918182	
473,2000100060021_6918446	
474,2000100060021_6918602	
475,2000100060021_9290	
476,2000100060021_9677	
477,2000100060023_10152654	
478,2000100060023_10201696	
479,2000100060023_10313457	
480,2000100060023_10345214	
481,2000100060023_130956	
482,2000100060023_13109	
483,2000100060023_13388558	
484,2000100060023_154257	
485,2000100060023_16750192	
486,2000100060023_176405	
487,2000100060023_179337	
488,2000100060023_2088	
489,2000100060023_216416	
490,2000100060023_223368	
491,2000100060023_25022354	
492,2000100060023_3001028	
493,2000100060023_44137686	
494,2000100060023_444008	
495,2000100060023_5035	
496,2000100060023_5280795	
497,2000100060023_5280933	
498,2000100060023_5282367	
499,2000100060023_5283731	
500,2000100060023_57398987	
501,2000100060023_5757	
502,2000100060023_5870	
503,2000100060023_5878	
504,2000100060023_5881	
505,2000100060023_5991	
506,2000100060023_60852	
507,2000100060023_6230	
508,2000100060023_6279	
509,2000100060023_68873	
510,2000100060023_6918141	
511,2000100060023_6918182	
512,2000100060023_6918446	
513,2000100060023_6918602	
514,2000100060023_9290	
515,2000100060023_9677	
516,2000100060024_10152654	
517,2000100060024_10201696	
518,2000100060024_10313457	
519,2000100060024_10345214	
520,2000100060024_130956	
521,2000100060024_13109	
522,2000100060024_13388558	
523,2000100060024_154257	
524,2000100060024_16750192	
525,2000100060024_176405	
526,2000100060024_179337	
527,2000100060024_2088	
528,2000100060024_216416	
529,2000100060024_223368	
530,2000100060024_25022354	
531,2000100060024_3001028	
532,2000100060024_44137686	
533,2000100060024_444008	
534,2000100060024_5035	
535,2000100060024_5280795	
536,2000100060024_5280933	
537,2000100060024_5282367	
538,2000100060024_5283731	
539,2000100060024_57398987	
540,2000100060024_5757	
541,2000100060024_5870	
542,2000100060024_5878	
543,2000100060024_5881	
544,2000100060024_5991	
545,2000100060024_60852	
546,2000100060024_6230	
547,2000100060024_6279	
548,2000100060024_68873	
549,2000100060024_6918141	
550,2000100060024_6918182	
551,2000100060024_6918446	
552,2000100060024_6918602	
553,2000100060024_9290	
554,2000100060024_9677	
555,2000100060026_10313457	
556,2000100060026_10345214	
557,2000100060026_130956	
558,2000100060026_13109	
559,2000100060026_13388558	
560,2000100060026_154257	
561,2000100060026_16750192	
562,2000100060026_176405	
563,2000100060026_2088	
564,2000100060026_216416	
565,2000100060026_223368	
566,2000100060026_25022354	
567,2000100060026_44137686	
568,2000100060026_444008	
569,2000100060026_5280795	
570,2000100060026_5280933	
571,2000100060026_5282367	
572,2000100060026_5283731	
573,2000100060026_57398987	
574,2000100060026_5757	
575,2000100060026_5870	
576,2000100060026_5878	
577,2000100060026_5881	
578,2000100060026_5991	
579,2000100060026_60852	
580,2000100060026_6230	
